archetype,harm_rate_real,harm_rate_synthetic,harm_rate_diff,mean_abs_alarm_rate_diff,alarm_diff_ks,alarm_diff_psi,alarm_diff_wasserstein,alarm_diff_jensen_shannon,alarm_diff_mmd,alarm_diff_c2st
imputation_masked_null,1.0,1.0,0.0,0.6,1.0,1.0,0.6499999999999999,0.95,0.0,0.0
gradual_shift,1.0,0.55,-0.44999999999999996,0.2916666666666667,-0.75,0.0,-0.09999999999999998,-0.09999999999999998,0.09999999999999999,-0.7
dilution_shift,0.05,1.0,0.95,0.25833333333333336,-0.45,-0.050000000000000044,0.0,0.15000000000000002,0.6,-0.30000000000000004
dilution_permuted,0.05,0.15,0.09999999999999999,0.15833333333333333,0.05,0.15,-0.1,0.05,0.09999999999999999,-0.5
true_null,0.05,0.1,0.05,0.08333333333333333,0.05,0.15,-0.1,0.05,0.09999999999999999,-0.05
concept_drift_no_covariate_shift,1.0,1.0,0.0,0.08333333333333333,0.05,0.15,-0.1,0.05,0.09999999999999999,-0.05
covariate_shift_mild,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covariate_shift_moderate,0.25,0.15,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covariate_shift_strong,0.65,0.25,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imputation_visible,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irrelevant_feature_drift,0.05,0.35,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sudden_shift,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
