n_calibration_reps,detector,mean_far,p90_far,target_alpha
20,ks,0.09202500000000001,0.18,0.05
20,psi,0.09237500000000001,0.19,0.05
20,wasserstein,0.09,0.18,0.05
20,jensen_shannon,0.09085000000000001,0.18,0.05
20,mmd,0.09290000000000001,0.19,0.05
20,c2st,0.08885000000000001,0.18,0.05
40,ks,0.07045,0.13,0.05
40,psi,0.07115,0.14,0.05
40,wasserstein,0.07692500000000001,0.14,0.05
40,jensen_shannon,0.0727,0.14,0.05
40,mmd,0.07597500000000001,0.14,0.05
40,c2st,0.07205,0.13100000000000023,0.05
60,ks,0.06752500000000002,0.12,0.05
60,psi,0.06217500000000001,0.11,0.05
60,wasserstein,0.0635,0.12,0.05
60,jensen_shannon,0.06325000000000001,0.12,0.05
60,mmd,0.067575,0.12,0.05
60,c2st,0.063075,0.11,0.05
100,ks,0.05947500000000001,0.1,0.05
100,psi,0.06030000000000001,0.11,0.05
100,wasserstein,0.05735000000000001,0.11,0.05
100,jensen_shannon,0.057475000000000005,0.1,0.05
100,mmd,0.05845000000000001,0.1,0.05
100,c2st,0.05657500000000001,0.1,0.05
150,ks,0.056775,0.1,0.05
150,psi,0.057874999999999996,0.1,0.05
150,wasserstein,0.057,0.1,0.05
150,jensen_shannon,0.05610000000000001,0.1,0.05
150,mmd,0.05787500000000002,0.1,0.05
150,c2st,0.05540000000000001,0.1,0.05
