mode,batch,rep,frac,auc_ref,auc_cur,auc_drop,ks,psi,wasserstein,jensen_shannon,mmd,c2st,alarm_ks,alarm_psi,alarm_wasserstein,alarm_jensen_shannon,alarm_mmd,alarm_c2st,harm
sudden,1,0,1.0,0.8681332081041191,0.7062810331938981,0.16185217491022097,0.4668000042438507,6.622373008691946,18.214617083900762,0.8358046401562249,0.010250508785247803,0.49995917968750003,1,1,1,1,1,1,1
gradual,1,0,0.125,0.8681332081041191,0.7726041893275358,0.09552901877658326,0.43109217286109924,3.805886136376641,2.2558884825410352,0.6464443973502486,-0.0001850128173828125,0.49985185546875,1,1,1,1,0,1,1
sudden,2,0,1.0,0.8681332081041191,0.7309602990813631,0.13717290902275603,0.4646500051021576,6.576216081861684,18.009610071237244,0.8325145827728432,0.01117783784866333,0.49989902343750003,1,1,1,1,1,1,1
gradual,2,0,0.25,0.8681332081041191,0.7481217199301092,0.12001148817400986,0.43778520822525024,4.79608729169976,4.456434564813548,0.7232220787187273,-0.0002453923225402832,0.49982011718749997,1,1,1,1,0,1,1
sudden,3,0,1.0,0.8681332081041191,0.7325728114487625,0.13556039665535657,0.4635999798774719,6.630226501713423,18.183552299949607,0.8361820681298927,0.011209428310394287,0.499953515625,1,1,1,1,1,1,1
gradual,3,0,0.375,0.8681332081041191,0.7402595837459793,0.12787362435813976,0.45135000348091125,5.442680742980564,6.7695041757051,0.7656902025235097,-0.0001386404037475586,0.49985595703124996,1,1,1,1,0,1,1
sudden,4,0,1.0,0.8681332081041191,0.7199900930702231,0.148143115033896,0.465774267911911,6.520792243208801,18.2459917688247,0.8328794080919256,0.0108262300491333,0.49990566406250003,1,1,1,1,1,1,1
gradual,4,0,0.5,0.8681332081041191,0.7318042506261504,0.1363289574779687,0.4524500072002411,5.778827642582865,9.068920635408162,0.7889441958554376,0.00036156177520751953,0.49976689453125,1,1,1,1,0,1,1
sudden,5,0,1.0,0.8681332081041191,0.7150555956931834,0.15307761241093565,0.4715000092983246,6.650575991990721,18.124683813983253,0.8364672287085457,0.010932207107543945,0.49989765624999993,1,1,1,1,1,1,1
gradual,5,0,0.625,0.8681332081041191,0.7319214794330207,0.13621172867109843,0.4548499882221222,6.062528974770672,11.387478162484257,0.8050983335509981,0.0016301274299621582,0.49983876953125006,1,1,1,1,1,1,1
sudden,6,0,1.0,0.8681332081041191,0.7133271555395506,0.15480605256456847,0.4786999821662903,6.667840206479281,18.208191361006172,0.8365778779154603,0.011311054229736328,0.49994843750000006,1,1,1,1,1,1,1
gradual,6,0,0.75,0.8681332081041191,0.7264997155900413,0.14163349251407775,0.45934998989105225,6.259758951337842,13.616485200182733,0.8160639770564907,0.0038695931434631348,0.4998897460937499,1,1,1,1,1,1,1
sudden,7,0,1.0,0.8681332081041191,0.7109606674756276,0.1571725406284915,0.4668999910354614,6.582732143726232,18.082352843564543,0.8342254717528349,0.010654151439666748,0.49994443359374996,1,1,1,1,1,1,1
