mode,batch,auc_drop,harm,alarm_ks,alarm_psi,alarm_wasserstein,alarm_jensen_shannon,alarm_mmd,alarm_c2st
gradual,1,0.07643207663175668,1.0,1.0,1.0,1.0,1.0,0.0,1.0
gradual,2,0.09560513291407528,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0
gradual,3,0.1099269886410263,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0
gradual,4,0.12007070006462746,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0
gradual,5,0.12884478739642163,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gradual,6,0.12773714332947192,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gradual,7,0.13783736899157367,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gradual,8,0.13274308957445627,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sudden,1,0.13759098307015627,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sudden,2,0.13567026342112573,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sudden,3,0.13388754506292475,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sudden,4,0.13806393785223056,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sudden,5,0.13583484339284402,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sudden,6,0.13721542963626124,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sudden,7,0.1356077841958934,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sudden,8,0.13524824364474394,1.0,1.0,1.0,1.0,1.0,1.0,1.0
