feature,nan_rate_in_pool,effective_n_per_window,null_ks,gain_importance,masked_by_imputation_archetype
id_02,0.8131935742427835,3736,0.02509668469429016,4097.59690117836,False
R_emaildomain,0.8106817489077793,3786,0.021697700023651123,5591.238259792328,False
id_17,0.8157844232961922,3684,0.019047170877456665,3730.770975828171,False
D8,0.8975683272936634,2049,0.017620548605918884,4065.387417912483,False
dist1,0.5607664171774985,8785,0.016907483339309692,3962.017326116562,False
id_20,0.8160327835540353,3679,0.016824841499328613,3553.6940709352493,False
M4,0.45328004876892336,10934,0.01488649845123291,4754.751515388489,False
id_35,0.8131879296914688,3736,0.013745725154876709,0.0,False
DeviceInfo,0.8499057359930459,3002,0.013343572616577148,3885.9745911359787,False
id_27,0.9933620076540116,133,0.012820541858673096,0.0,False
D1,0.0035758232578092367,19928,0.0127754807472229,4043.4795339107513,False
C13,0.0,20000,0.012149989604949951,18735.947962284088,True
D4,0.23420372314604712,15316,0.010865271091461182,5651.169525504112,False
D15,0.10275058985561238,17945,0.010846316814422607,7275.670472383499,False
V156,0.9156901592892381,1686,0.010747700929641724,3935.9170479774475,False
V325,0.91511159277949,1698,0.010590970516204834,0.0,False
addr1,0.11344137004549508,17731,0.010318279266357422,12834.306245803833,True
C1,0.0,20000,0.009949982166290283,12109.81929564476,False
D2,0.441099107031982,11178,0.009871453046798706,10717.2301902771,False
D10,0.07489755139363972,18502,0.00965648889541626,6510.78731739521,False
C2,0.0,20000,0.00950002670288086,4368.3134298324585,False
C11,0.0,20000,0.009399950504302979,6007.923545837402,False
C14,0.0,20000,0.008749961853027344,14741.835082292557,True
V330,0.91511159277949,1698,0.008630990982055664,0.0,False
D3,0.4035487294114991,11929,0.008499860763549805,3245.525312900543,False
card5,0.00838498097786207,19832,0.008102893829345703,6264.079596042633,False
card1,0.0,20000,0.00755000114440918,15520.072044730186,True
V189,0.8138934986057959,3722,0.007387638092041016,20109.707452774048,True
P_emaildomain,0.15833813120195075,16833,0.0073323845863342285,8283.796458244324,False
card2,0.014404894954900035,19712,0.00723874568939209,14773.586044669151,True
V258,0.8316512570415777,3367,0.00700986385345459,12397.891233921051,False
C6,0.0,20000,0.006950020790100098,4147.716768026352,False
C12,0.0,20000,0.006399989128112793,4664.545424938202,False
V243,0.8316512570415777,3367,0.0061511993408203125,9359.959682703018,False
TransactionAmt,0.0,20000,0.006150007247924805,10980.480584859848,False
V183,0.8144240864293697,3712,0.006015598773956299,0.0,False
V195,0.8138934986057959,3722,0.004909731447696686,0.0,False
C4,0.0,20000,0.004500031471252441,5251.970916986465,False
C10,0.0,20000,0.004499971866607666,3306.4463646411896,False
card6,0.0044140391280297125,19912,0.004453018307685852,4651.274315714836,False
V246,0.8316512570415777,3367,0.0037519335746765137,6033.964178800583,False
V244,0.8316512570415777,3367,0.0031818747520446777,4560.62206697464,False
C8,0.0,20000,0.0031000375747680664,9611.409849405289,False
V44,0.23431943644799674,15314,0.0028020143508911133,4852.274322509766,False
V294,2.8222756573080004e-06,20000,0.0026999711990356445,6260.570101976395,False
V318,2.8222756573080004e-06,20000,0.0024500489234924316,4248.08590054512,False
V116,0.0008861945563947122,19982,0.0010017156600952148,0.0,False
V28,0.0749963310416455,18500,0.0006461739540100098,0.0,False
V27,0.0749963310416455,18500,0.0006461739540100098,0.0,False
V113,0.0008861945563947122,19982,0.0006006956100463867,0.0,False
V89,0.10287194770887662,17943,0.0004974007606506348,0.0,False
V119,0.0008861945563947122,19982,0.0003504157066345215,0.0,False
V117,0.0008861945563947122,19982,0.00030028820037841797,0.0,False
V241,0.8316512570415777,3367,0.0002949237823486328,0.0,False
V68,0.07647238121041758,18471,0.00021564960479736328,0.0,False
V118,0.0008861945563947122,19982,0.00020016262715216726,0.0,False
V107,0.0008861945563947122,19982,0.00010005250805988908,0.0,False
V1,0.35063670538828867,12987,7.723797170910984e-05,0.0,False
V305,2.8222756573080004e-06,20000,5.0008296966552734e-05,0.0,False
V41,0.23431943644799674,15314,4.909699782729149e-06,0.0,False
