scheme,detector,mcc,mcc_lo95,mcc_hi95,ci_width,p_mcc_above_zero,p_rank1,p_rank2,p_rank3,p_rank4,p_rank5,p_rank6
iid_trial,mmd,0.18897136306247203,0.0608173063931814,0.31469869839519554,0.25388139200201415,0.999,0.9395,0.0485,0.008,0.004,0.0,0.0
iid_trial,c2st,0.08929048759956631,-0.03450916669864882,0.20684644906566638,0.2413556157643152,0.9165,0.044,0.622,0.1595,0.1305,0.0245,0.0195
iid_trial,wasserstein,0.05797747850973157,-0.06936665611617189,0.1762006084557883,0.2455672645719602,0.807,0.0075,0.177,0.4645,0.317,0.032,0.002
iid_trial,ks,0.051166779025592336,-0.08123473691611266,0.17909260665962592,0.2603273435757386,0.7805,0.0085,0.152,0.3545,0.4575,0.0275,0.0
iid_trial,jensen_shannon,-0.0032530171704454563,-0.13749471419768497,0.1206659726373287,0.2581606868350137,0.466,0.0005,0.0005,0.0135,0.079,0.5205,0.386
iid_trial,psi,-0.011791665765914455,-0.14083669613067046,0.11194623649021233,0.2527829326208828,0.409,0.0,0.0,0.0,0.012,0.3955,0.5925
stratified_by_archetype,mmd,0.18897136306247203,0.14192753540566777,0.24077614194680605,0.09884860654113828,1.0,0.9995,0.0005,0.0,0.0,0.0,0.0
stratified_by_archetype,c2st,0.08929048759956631,0.010944543499564837,0.16365045111066054,0.1527059076110957,0.9855,0.0005,0.7245,0.189,0.077,0.0075,0.0015
stratified_by_archetype,wasserstein,0.05797747850973157,-0.003642264135619219,0.12221591397947094,0.12585817811509017,0.968,0.0,0.1635,0.463,0.337,0.031,0.0055
stratified_by_archetype,ks,0.051166779025592336,-0.0113639451338629,0.11195074033815261,0.12331468547201552,0.938,0.0,0.1095,0.338,0.5205,0.032,0.0
stratified_by_archetype,jensen_shannon,-0.0032530171704454563,-0.07163525830218113,0.05855761618610422,0.13019287448828537,0.452,0.0,0.002,0.01,0.061,0.543,0.384
stratified_by_archetype,psi,-0.011791665765914455,-0.06482712600161557,0.035455197425947084,0.10028232342756266,0.2805,0.0,0.0,0.0,0.0045,0.3865,0.609
cluster_by_archetype,mmd,0.18897136306247203,-0.35308636858687276,0.6742222710659516,1.0273086396528244,0.755,0.566,0.132,0.0635,0.0205,0.054,0.164
cluster_by_archetype,c2st,0.08929048759956631,-0.35288182381605215,0.4954939334645332,0.8483757572805853,0.658,0.1785,0.3325,0.1225,0.048,0.0985,0.22
cluster_by_archetype,wasserstein,0.05797747850973157,-0.4678709397711882,0.5347458403359909,1.002616780107179,0.5935,0.1455,0.2545,0.367,0.1875,0.041,0.0045
cluster_by_archetype,ks,0.051166779025592336,-0.4601515859323179,0.541804636578058,1.001956222510376,0.5895,0.11,0.266,0.271,0.2575,0.0955,0.0
cluster_by_archetype,jensen_shannon,-0.0032530171704454563,-0.5110923364439919,0.4756948664944391,0.986787202938431,0.514,0.0,0.013,0.0495,0.312,0.466,0.1595
cluster_by_archetype,psi,-0.011791665765914455,-0.5587002372711926,0.49601320551048195,1.0547134427816744,0.4985,0.0,0.002,0.1265,0.1745,0.245,0.452
