archetype,rep,expected_harm,expected_alarm,auc_ref,auc_cur,auc_drop,segment_auc_drop,segment_positive_share,ks,psi,wasserstein,jensen_shannon,mmd,c2st,harm,segment_harm,alarm_ks,alarm_psi,alarm_wasserstein,alarm_jensen_shannon,alarm_mmd,alarm_c2st
true_null,0,False,quiet,0.8536867508068235,0.8464335633766881,0.007253187430135477,,,0.020877480506896973,0.005642369849394668,0.5025500000000498,0.04923687670841973,0.0001964569091796875,-0.0016966308593749369,0,0,0,0,0,0,0,0
covariate_shift_mild,0,False,fire,0.8536867508068235,0.8313547577619379,0.022331993044885645,,,0.25966987013816833,0.3069395923499395,1.3894200203030396,0.23691812356196001,0.006220400333404541,0.1446471191406249,1,0,1,1,1,1,1,1
covariate_shift_moderate,0,False,fire,0.8536867508068235,0.818167091389561,0.03551965941726254,,,0.5123207569122314,1.2033289952931905,3.4969620215615134,0.45724905886528916,0.02675807476043701,0.28143974609375,1,0,1,1,1,1,1,1
covariate_shift_strong,0,False,fire,0.8536867508068235,0.800438918495373,0.05324783231145058,,,0.7259066104888916,3.435411092136645,6.957240171608024,0.687826300415626,0.06395739316940308,0.4052430175781252,1,0,1,1,1,1,1,1
concept_drift_no_covariate_shift,0,True,quiet,0.8536867508068235,0.5179927864934355,0.33569396431338805,,,0.020877480506896973,0.005642369849394668,0.5025500000000498,0.04923687670841973,0.0001964569091796875,-0.0016966308593749369,1,0,0,0,0,0,0,0
imputation_masked_null,0,True,quiet,0.8536867508068235,0.7817768167571337,0.07190993404968982,,,0.0255279541015625,0.008777835899053324,0.5025500000000498,0.04923687670841973,0.0036638975143432617,0.49977919921875,1,0,0,0,0,0,1,1
imputation_visible,0,True,unknown,0.8536867508068235,0.7803651133059641,0.0733216375008594,,,0.4466000199317932,3.7154124220616693,2.547524999999989,0.7886465634183396,0.003689885139465332,0.4995848632812502,1,0,1,1,1,1,1,1
dilution_shift,0,True,quiet,0.8536867508068235,0.8398007464308511,0.013886004375972427,0.17431874563860594,0.40751043115438107,0.042355671525001526,0.036307889530206486,2.383024137057392,0.07567405729226237,0.0005336403846740723,0.03207602539062504,0,1,0,1,1,1,0,1
dilution_permuted,0,True,quiet,0.8536867508068235,0.8387141160029917,0.014972634803831819,0.4041883413073588,0.40751043115438107,0.020877480506896973,0.005642369849394668,0.5025500000000498,0.04923687670841973,0.0003679990768432617,0.013835009765625017,0,1,0,0,0,0,0,1
irrelevant_feature_drift,0,False,fire,0.8536867508068235,0.8464335633766881,0.007253187430135477,,,1.0,17.62240547990116,343.7673754553054,0.9133712738159431,0.9285989999771118,0.5,0,0,1,1,1,1,1,1
sudden_shift,0,True,fire,0.8536867508068235,0.7117804400607977,0.1419063107460259,,,0.46127066016197205,6.404935018613514,17.268682644216348,0.8287978054598684,0.01716136932373047,0.49990966796875,1,0,1,1,1,1,1,1
gradual_shift,0,True,unknown,0.8536867508068235,0.7701467189120653,0.08354003189475823,,,0.4384499788284302,4.744663096832543,4.232686768816035,0.7250917952919671,0.0005440115928649902,0.4996661132812501,1,0,1,1,1,1,0,1
true_null,1,False,quiet,0.853139165734447,0.8555720475301121,-0.0024328817956650317,,,0.027048230171203613,0.012743337574747729,0.2539719897783066,0.05897114822179077,-9.85264778137207e-05,0.0071653808593750146,0,0,0,0,0,0,0,0
covariate_shift_mild,1,False,fire,0.853139165734447,0.8454679507450529,0.0076712149893941595,,,0.2682293951511383,0.3261969285808183,0.9926020715380149,0.24461436551401547,0.005002319812774658,0.16059033203125006,0,0,1,1,1,1,1,1
