n_calibration_reps,detector,mean_far,p90_far,target_alpha
20,ks,0.0947,0.2,0.05
20,psi,0.09387500000000001,0.18,0.05
20,wasserstein,0.09290000000000001,0.19,0.05
20,jensen_shannon,0.09810000000000002,0.2,0.05
20,mmd,0.09075000000000001,0.19,0.05
20,c2st,0.092575,0.19100000000000023,0.05
40,ks,0.072325,0.15,0.05
40,psi,0.071925,0.13,0.05
40,wasserstein,0.0709,0.13,0.05
40,jensen_shannon,0.06772500000000001,0.13,0.05
40,mmd,0.06945,0.13,0.05
40,c2st,0.07250000000000001,0.14,0.05
60,ks,0.06437500000000002,0.12,0.05
60,psi,0.06385,0.12,0.05
60,wasserstein,0.0627,0.11,0.05
60,jensen_shannon,0.06315,0.11,0.05
60,mmd,0.06505000000000001,0.12,0.05
60,c2st,0.06012500000000001,0.10100000000000023,0.05
100,ks,0.0591,0.1,0.05
100,psi,0.0597,0.1,0.05
100,wasserstein,0.059875000000000005,0.1,0.05
100,jensen_shannon,0.06005,0.11,0.05
100,mmd,0.05950000000000001,0.10100000000000023,0.05
100,c2st,0.05737500000000001,0.1,0.05
150,ks,0.05595000000000001,0.09,0.05
150,psi,0.05682500000000001,0.1,0.05
150,wasserstein,0.05765000000000001,0.1,0.05
150,jensen_shannon,0.05662500000000001,0.09,0.05
150,mmd,0.053375000000000006,0.09,0.05
150,c2st,0.056175,0.1,0.05
