mode,batch,rep,frac,auc_ref,auc_cur,auc_drop,ks,psi,wasserstein,jensen_shannon,mmd,c2st,alarm_ks,alarm_psi,alarm_wasserstein,alarm_jensen_shannon,alarm_mmd,alarm_c2st,harm
sudden,1,0,1.0,0.8464697258578154,0.7602232177154965,0.08624650814231893,0.09245002269744873,0.15734950519956287,0.2574118717178415,0.18437086007407397,0.0020599365234375,0.33920263671874995,1,1,1,1,1,1,1
gradual,1,0,0.125,0.8464697258578154,0.8338649118420396,0.012604814015775845,0.016049981117248535,0.0025867163094369897,0.02387742933934174,0.026742516324108845,6.729364395141602e-05,0.00410732421874993,0,0,0,0,0,0,1
sudden,2,0,1.0,0.8464697258578154,0.7560435241951894,0.09042620166262605,0.09290000796318054,0.16121679310623185,0.2583520089162428,0.18852188328413036,0.0021501779556274414,0.35124228515625,1,1,1,1,1,1,1
gradual,2,0,0.25,0.8464697258578154,0.8310638601019985,0.015405865755816928,0.01789999008178711,0.003395975486886506,0.02387742933934174,0.03025010979915369,8.213520050048828e-05,0.005451562500000007,0,1,0,1,0,0,1
sudden,3,0,1.0,0.8464697258578154,0.7610194819616898,0.08545024389612565,0.09140002727508545,0.1516178272304992,0.2514363859742312,0.18215147518257074,0.0021879076957702637,0.34552333984375005,1,1,1,1,1,1,1
gradual,3,0,0.375,0.8464697258578154,0.823101348013367,0.02336837784444845,0.025499999523162842,0.009379992464035898,0.04611949123506849,0.04468074835801664,5.7220458984375e-05,0.05024150390625004,1,1,1,1,0,1,1
sudden,4,0,1.0,0.8464697258578154,0.7561682914439263,0.09030143441388916,0.09105002880096436,0.1583890230944896,0.25494821181994415,0.1817693086191156,0.002021312713623047,0.35385107421875006,1,1,1,1,1,1,1
gradual,4,0,0.5,0.8464697258578154,0.810460576277926,0.03600914957988943,0.0372999906539917,0.02064892539716897,0.07572998491146209,0.06738280700524474,0.00013250112533569336,0.10418271484374997,1,1,1,1,0,1,1
sudden,5,0,1.0,0.8464697258578154,0.7568280734690799,0.08964165238873556,0.09070003032684326,0.16199272319719407,0.2563382239682359,0.18433144440901328,0.0021842122077941895,0.3498868164062501,1,1,1,1,1,1,1
gradual,5,0,0.625,0.8464697258578154,0.79846723835359,0.04800248750422542,0.04884999990463257,0.041224251260060664,0.11334622331351564,0.09393100918617124,0.00033801794052124023,0.16524794921874997,1,1,1,1,1,1,1
sudden,6,0,1.0,0.8464697258578154,0.7593322652035057,0.08713746065430972,0.0966000035405159,0.15946084187286816,0.25283184773779743,0.18421964607836094,0.0020050406455993652,0.34624013671875,1,1,1,1,1,1,1
gradual,6,0,0.75,0.8464697258578154,0.7880964147807936,0.05837331107702182,0.06085000932216644,0.07257504437754232,0.1561204422502925,0.12353055004369788,0.0006993412971496582,0.23206767578124998,1,1,1,1,1,1,1
sudden,7,0,1.0,0.8464697258578154,0.7609645203030806,0.08550520555473484,0.09180000424385071,0.15743349642553822,0.2545636601401699,0.18580621683076312,0.0021976828575134277,0.3480932617187501,1,1,1,1,1,1,1
gradual,7,0,0.875,0.8464697258578154,0.7731065396644472,0.07336318619336823,0.07524999976158142,0.11038346009781388,0.2013281744822429,0.15333608639538793,0.0012487173080444336,0.29674570312500004,1,1,1,1,1,1,1
sudden,8,0,1.0,0.8464697258578154,0.7617334992799204,0.08473622657789504,0.09065000712871552,0.1566146440841651,0.2559711290860104,0.1834759981113271,0.0021373629570007324,0.35453789062499996,1,1,1,1,1,1,1
gradual,8,0,1.0,0.8464697258578154,0.7599393764151905,0.08653034944262494,0.09064996242523193,0.16001929248585572,0.2522340068020189,0.1849515283870878,0.002164185047149658,0.349719140625,1,1,1,1,1,1,1
sudden,1,1,1.0,0.8387093507860723,0.7606257025458744,0.07808364824019798,0.09244999289512634,0.16369126181082302,0.25982140112833446,0.19075297430080546,0.0024396777153015137,0.35227724609375,1,1,1,1,1,1,1
gradual,1,1,0.125,0.8387093507860723,0.8402981452788918,-0.0015887944928194564,0.017549991607666016,0.0022540368709950483,0.019800630878607055,0.024243102573642268,-0.00018483400344848633,-0.0015968749999999976,0,0,0,0,0,0,0
sudden,2,1,1.0,0.8387093507860723,0.7616550271904241,0.07705432359564823,0.09180000424385071,0.16216540018774453,0.25704406740049096,0.18799603409154045,0.0022259950637817383,0.348919921875,1,1,1,1,1,1,1
gradual,2,1,0.25,0.8387093507860723,0.8354307555596062,0.003278595226466119,0.017549991607666016,0.0034778664411897514,0.029802481763019303,0.03165232625408794,-0.00018042325973510742,0.019178417968749972,0,1,1,1,0,1,0
sudden,3,1,1.0,0.8387093507860723,0.7661367002369668,0.07257265054910556,0.09080000221729279,0.16596053262091262,0.2575544342098169,0.18953620358764448,0.002218008041381836,0.35339521484375,1,1,1,1,1,1,1
gradual,3,1,0.375,0.8387093507860723,0.8298367815044355,0.008872569281636822,0.02595001459121704,0.01056475632466683,0.051238829964563526,0.04900778350584831,-0.00012046098709106445,0.043729492187499996,1,1,1,1,0,1,1
sudden,4,1,1.0,0.8387093507860723,0.7652261817960869,0.07348316898998541,0.09400000423192978,0.17050869384720282,0.265048533558712,0.18965610773592917,0.0024064183235168457,0.350502734375,1,1,1,1,1,1,1
gradual,4,1,0.5,0.8387093507860723,0.8185545593328473,0.020154791453225074,0.03450000286102295,0.022449739833242204,0.08115690990451917,0.07212111072003974,-3.874301910400391e-06,0.09918867187499991,1,1,1,1,0,1,1
