mode,batch,auc_drop,harm,alarm_ks,alarm_psi,alarm_wasserstein,alarm_jensen_shannon,alarm_mmd,alarm_c2st
gradual,1,0.004417462172786417,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
gradual,2,0.00921691711837643,0.5,0.0,1.0,0.8333333333333334,1.0,0.0,0.3333333333333333
gradual,3,0.016486598710312533,1.0,1.0,1.0,1.0,1.0,0.0,1.0
gradual,4,0.027841618709069076,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0
gradual,5,0.04047822414311123,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gradual,6,0.05504446088579925,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gradual,7,0.06927547518216935,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gradual,8,0.0812558939979265,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sudden,1,0.08263527847067452,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sudden,2,0.07990366419954663,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sudden,3,0.07973472927405824,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sudden,4,0.08193729605330037,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sudden,5,0.08184702410496746,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sudden,6,0.0850092840542639,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sudden,7,0.08255902480967797,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sudden,8,0.08230011013151667,1.0,1.0,1.0,1.0,1.0,1.0,1.0
