scheme,detector,mcc,mcc_lo95,mcc_hi95,ci_width,p_mcc_above_zero,p_rank1,p_rank2,p_rank3,p_rank4,p_rank5,p_rank6
iid_trial,jensen_shannon,0.16879738280810813,0.042833268307110116,0.2955666427926896,0.25273337448557953,0.995,0.5405,0.3175,0.106,0.029,0.007,0.0
iid_trial,wasserstein,0.1610670060006062,0.0338675365697226,0.2852346255733601,0.2513670890036375,0.9945,0.3365,0.4345,0.1795,0.043,0.006,0.0005
iid_trial,psi,0.12742338232984532,-0.0020772843487365097,0.2533914745945713,0.2554687589433078,0.97,0.05,0.134,0.422,0.22,0.152,0.022
iid_trial,c2st,0.09880494035256682,-0.027768980710254267,0.22209811946059474,0.249867100170849,0.934,0.021,0.046,0.1545,0.4125,0.342,0.024
iid_trial,mmd,0.09400159308738426,-0.03155646487695783,0.21887283432394258,0.2504292992009004,0.927,0.0515,0.067,0.135,0.282,0.398,0.0665
iid_trial,ks,0.026144349280800103,-0.099668692090656,0.15209747127205395,0.25176616336270996,0.6505,0.0005,0.001,0.003,0.0135,0.095,0.887
stratified_by_archetype,jensen_shannon,0.16879738280810813,0.09325048082403137,0.24340653300542844,0.15015605218139708,1.0,0.5465,0.327,0.1045,0.02,0.002,0.0
stratified_by_archetype,wasserstein,0.1610670060006062,0.07961693998676686,0.2336005357026635,0.15398359571589665,1.0,0.3535,0.4255,0.191,0.0245,0.0055,0.0
stratified_by_archetype,psi,0.12742338232984532,0.03040276736044749,0.21478681392830853,0.18438404656786106,0.996,0.049,0.149,0.4465,0.1925,0.145,0.018
stratified_by_archetype,c2st,0.09880494035256682,0.005340356135509407,0.18176052046523028,0.17642016432972088,0.98,0.017,0.038,0.131,0.437,0.356,0.021
stratified_by_archetype,mmd,0.09400159308738426,-0.004534431841179088,0.1908610026498059,0.19539543449098498,0.9685,0.034,0.0605,0.1265,0.314,0.406,0.059
stratified_by_archetype,ks,0.026144349280800103,-0.06385144630264927,0.11546296581406994,0.17931441211671922,0.7035,0.0,0.0,0.0005,0.012,0.0855,0.902
cluster_by_archetype,jensen_shannon,0.16879738280810813,-0.3249301533964208,0.5664341502500101,0.8913643036464309,0.744,0.559,0.196,0.058,0.07,0.053,0.064
cluster_by_archetype,wasserstein,0.1610670060006062,-0.329284244904137,0.563505181432811,0.892789426336948,0.7415,0.2195,0.481,0.1035,0.084,0.0635,0.0485
cluster_by_archetype,psi,0.12742338232984532,-0.31326063020130573,0.46826712061711234,0.7815277508184181,0.7075,0.028,0.086,0.5005,0.1335,0.183,0.069
cluster_by_archetype,c2st,0.09880494035256682,-0.3403889872111964,0.4849618171755214,0.8253508043867178,0.684,0.0225,0.1555,0.163,0.404,0.232,0.023
cluster_by_archetype,mmd,0.09400159308738426,-0.29678806976840066,0.4247018338688263,0.721489903637227,0.698,0.1695,0.037,0.0495,0.198,0.383,0.163
cluster_by_archetype,ks,0.026144349280800103,-0.3977891962063136,0.4458884342012263,0.84367763040754,0.5515,0.0015,0.0445,0.1255,0.1105,0.0855,0.6325
