archetype,rep,expected_harm,expected_alarm,auc_ref,auc_cur,auc_drop,segment_auc_drop,segment_positive_share,ks,psi,wasserstein,jensen_shannon,mmd,c2st,harm,segment_harm,alarm_ks,alarm_psi,alarm_wasserstein,alarm_jensen_shannon,alarm_mmd,alarm_c2st
true_null,0,False,quiet,0.841873077564063,0.8450056277541453,-0.003132550190082295,,,0.019950002431869507,0.003176158446206009,0.023410912348503655,0.026789225013476574,-3.1888484954833984e-05,-0.0046000976562499685,0,0,0,1,0,0,0,0
covariate_shift_mild,0,False,fire,0.841873077564063,0.8411315376044124,0.00074153995965065,,,0.20395001769065857,0.25199034980477614,0.3822917510079633,0.21391741724503027,0.0017366409301757812,0.16034843749999994,0,0,1,1,1,1,1,1
covariate_shift_moderate,0,False,fire,0.841873077564063,0.8360904412842793,0.005782636279783704,,,0.3915500342845917,0.9488428243050326,0.7451019474460834,0.40218957842100533,0.007427692413330078,0.2770198242187498,0,0,1,1,1,1,1,1
covariate_shift_strong,0,False,fire,0.841873077564063,0.8279198151531233,0.013953262410939749,,,0.6742500066757202,3.196991468375937,1.365897057406766,0.6750898440972708,0.02700221538543701,0.41635634765624996,1,0,1,1,1,1,1,1
concept_drift_no_covariate_shift,0,True,quiet,0.841873077564063,0.5610203247869487,0.2808527527771143,,,0.019950002431869507,0.003176158446206009,0.023410912348503655,0.026789225013476574,-3.1888484954833984e-05,-0.0046000976562499685,1,0,0,1,0,0,0,0
imputation_masked_null,0,True,quiet,0.841873077564063,0.723160552688037,0.11871252487602602,,,0.028882920742034912,0.00702335028098764,0.03252338739182916,0.05293083106328744,0.001302957534790039,0.5,1,0,1,1,1,1,1,1
imputation_visible,0,True,unknown,0.841873077564063,0.7252133108988549,0.11665976666520816,,,0.4517499804496765,3.6947041269648104,0.5349782910031651,0.7959336533216904,0.001250147819519043,0.5,1,0,1,1,1,1,1,1
dilution_shift,0,True,quiet,0.841873077564063,0.818163453530201,0.02370962403386201,0.31133976779117445,0.14853083629318695,0.019950002431869507,0.004336808014574087,0.06877834639563216,0.03407658444450308,0.00013750791549682617,0.013342382812499998,1,1,0,1,1,1,0,1
dilution_permuted,0,True,quiet,0.841873077564063,0.8420541060980992,-0.00018102853403612063,0.31475591685949744,0.14853083629318695,0.019950002431869507,0.003176158446206009,0.023410912348503655,0.026789225013476574,-3.3795833587646484e-05,-0.019120410156250045,0,1,0,1,0,0,0,0
irrelevant_feature_drift,0,False,fire,0.841873077564063,0.8404276630864813,0.0014454144775817301,,,0.8737499713897705,8.901310436584794,2.2516843898493657,0.8522178745361518,0.6540188789367676,0.5,0,0,1,1,1,1,1,1
